,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
0,블랙 아담,2022-10-19,23828.993,1270,6.8,액션 판타지 SF,"[18918, 83860, 1253353]",[59521],436270,6.437612755476812
1,스마일,2022-09-23,4111.786,779,6.9,공포 미스테리 스릴러,"[1396124, 59219, 145245]",[2218465],882598,6.416169639279408
2,블랙 팬서: 와칸다 포에버,2022-11-09,3864.722,893,7.5,액션 모험 SF,"[1083010, 1267329, 82104]",[1056121],505642,6.539826609591639
3,Снайпер. Білий ворон,2022-05-03,2915.976,113,7.4,드라마 액션 전쟁,"[3258776, 2232024, 2039497]",[3518356],966220,6.34972027187758
4,테리파이어 2,2022-10-06,2492.938,645,7.0,공포 스릴러,"[1882502, 1880016, 2787720]",[933176],663712,6.416096086347041
5,R.I.P.D.:알.아이.피.디.  2,2022-11-15,2373.629,124,7.0,판타지 액션 코미디 범죄,"[52886, 1146114, 3901]",[1181315],1013860,6.34023226115672
6,미디벌,2022-09-08,2207.869,154,7.2,역사 액션 드라마,"[11107, 103994, 3895]",[53348],551271,6.352755288920407
7,Jeepers Creepers: Reborn,2022-09-15,1967.334,477,5.8,공포 스릴러 미스테리,"[1817397, 2738561, 3425159]",[66212],717728,6.2624183743384005
8,에밀리 더 크리미널,2022-08-12,1840.528,192,6.9,범죄 드라마 미스테리 스릴러,"[119592, 51995, 25382]",[1099792],862965,6.346525592750967
9,에놀라 홈즈 2,2022-11-04,1836.272,1024,7.7,미스테리 모험 범죄,"[1356210, 73968, 1558986]",[173847],829280,6.607155064610681
10,Tadeo Jones 3: La Tabla Esmeralda,2022-08-24,1778.809,97,7.8,모험 애니메이션 코미디 가족 판타지,"[1164823, 1021607, 114463]",[1074721],676701,6.35524262295718
11,파라다이스 시티,2022-11-11,1775.857,12,6.2,범죄 액션 스릴러,"[8891, 62, 1224115]",[26713],829799,6.3188125621442905
12,온 더 라인,2022-10-31,1726.511,125,6.5,스릴러,"[2461, 6863, 5528]",[1564258],979924,6.32481460165506
13,사라진 탄환 2,2022-11-10,1718.995,104,7.0,액션 드라마 스릴러,"[220692, 1145003, 83966]",[1188208],948276,6.336925154696352
14,MexZombies,2022-10-26,1602.866,84,7.2,공포 액션 코미디,"[1310902, 2177750, 1240118]",[964826],675054,6.337816465299356
15,폴: 600미터,2022-08-11,1519.421,1762,7.3,스릴러,"[54633, 1279279, 47296]",[90812],985939,6.625164902131453
16,서부 전선 이상 없다,2022-10-07,1399.58,863,7.8,전쟁 드라마 액션,"[3631223, 1111158, 1820948]",[221522],49046,6.588277820012307
17,오펀: 천사의 탄생,2022-07-27,1193.891,1312,6.8,공포 스릴러,"[77517, 12041, 58014]",[62768],760161,6.440540855567227
18,오버도즈,2022-11-04,1188.001,79,6.5,액션 범죄 스릴러,"[1018984, 20671, 110424]",[52342],896485,6.322782185936556
19,47 로닌의 검,2022-10-25,1147.821,80,6.9,액션 판타지,"[1267375, 18702, 2252174]",[61703],732459,6.330895453161483
20,미션 축구: 돌연변이를 무찔러라!,2022-11-09,1146.382,35,6.9,애니메이션 코미디 가족,"[1066986, 2087866, 71041]",[1234311],1037858,6.324364031430361
21,투 킬 더 비스트,2022-04-28,1084.91,24,6.0,미스테리 판타지 스릴러,"[3035813, 1961671, 3181204]",[1657527],856245,6.317220298526457
22,왓쳐,2022-06-03,1015.485,298,6.2,미스테리 스릴러 공포,"[1094091, 1327613, 39659]",[1451203],807356,6.310691053355269
