,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
23,토르: 러브 앤 썬더,2022-07-06,994.797,4706,6.7,판타지 액션 코미디,"[74568, 524, 3894]",[55934],616037,6.884583296014749
35,탑건: 매버릭,2022-05-24,888.065,4795,8.3,액션 드라마,"[500, 996701, 6161]",[86270],361743,7.766460048307652
37,프레이,2022-08-02,853.532,4636,7.9,스릴러 액션 SF,"[1654001, 3675371, 87126]",[568322],766507,7.538903975517334
38,스파이더맨: 노 웨이 홈,2021-12-15,849.272,15871,8.0,액션 모험 SF,"[1136406, 505710, 71580]",[1293994],634649,7.824575577231297
44,아바타,2009-12-15,810.125,26579,7.5,액션 모험 판타지 SF,"[65731, 8691, 10205]",[2710],19995,7.450012791050672
55,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,652.099,6354,7.4,판타지 액션 모험,"[71580, 550843, 5294]",[7623],453395,7.2892323905623755
58,블랙 팬서,2018-02-13,617.977,19842,7.4,액션 모험 SF,"[172069, 135651, 1267329]",[1056121],284054,7.352197390397788
67,더 배트맨,2022-03-01,565.605,6788,7.7,범죄 미스테리 스릴러,"[11288, 37153, 17142]",[32278],414906,7.484517489166078
69,엔칸토: 마법의 세계,2021-10-13,557.605,7583,7.7,애니메이션 코미디 가족 판타지,"[968367, 2521631, 5723]",[76595],568124,7.499454152878081
108,해리 포터와 마법사의 돌,2001-11-16,397.97,23574,7.9,모험 판타지,"[10980, 10989, 10990]",[10965],671,7.787936623428941
111,어벤져스: 인피니티 워,2018-04-25,385.319,25755,8.3,모험 액션 SF,"[3223, 74568, 103]",[19271],299536,8.143741428405207
117,코코,2017-10-27,374.969,16510,8.2,가족 애니메이션 판타지 음악 코미디 모험,"[1193391, 258, 4589]",[8],354912,7.991966056057987
119,해리 포터와 비밀의 방,2002-11-13,373.225,18944,7.7,모험 판타지,"[10980, 10989, 10990]",[10965],672,7.599252723581197
120,해리 포터와 혼혈왕자,2009-07-07,373.076,16795,7.7,모험 판타지,"[10980, 10989, 10990]",[11343],767,7.588783892430672
133,해리 포터와 불의 잔,2005-11-16,354.559,17922,7.8,모험 판타지 가족,"[10980, 10989, 10990]",[10723],674,7.6767122009977395
135,베놈 2: 렛 데어 비 카니지,2021-09-30,352.716,8214,6.9,SF 액션 모험,"[2524, 57755, 1812]",[1333],580489,6.966837990029646
137,언차티드,2022-02-10,348.525,3920,7.1,액션 모험,"[1136406, 13240, 1163789]",[91268],335787,7.104040440604498
139,크루엘라,2021-05-26,346.221,7673,8.1,코미디 범죄,"[54693, 7056, 54811]",[50767],337404,7.766540330422935
141,마법에 걸린 사랑,2007-11-20,337.866,4762,6.8,코미디 가족 판타지 로맨스,"[9273, 18352, 11006]",[15775],4523,6.9384527843846815
148,잭 스나이더의 저스티스 리그,2021-03-18,321.756,8329,8.2,액션 모험 판타지 SF,"[880, 73968, 90633]",[15217],791373,7.852635258236489
150,해리 포터와 아즈카반의 죄수,2004-05-31,319.277,18627,8.0,모험 판타지,"[10980, 10989, 10990]",[11218],673,7.846050712004563
163,해리 포터와 죽음의 성물 2,2011-07-07,299.203,17929,8.1,판타지 모험,"[10980, 10989, 10990]",[11343],12445,7.923311468226391
168,슈렉,2001-05-18,290.177,14490,7.7,애니메이션 코미디 판타지 모험 가족,"[12073, 776, 6941]",[5524],808,7.574833461001236
172,모탈 컴뱃,2021-04-07,284.919,4968,7.1,액션 판타지 모험,"[1610940, 136347, 189230]",[1828590],460465,7.103562195545371
173,해리 포터와 불사조 기사단,2007-06-28,283.625,16957,7.7,모험 판타지 미스테리,"[10980, 10989, 10990]",[11343],675,7.589648307794402
174,샹치와 텐 링즈의 전설,2021-09-01,283.059,7414,7.7,액션 모험 판타지,"[1489211, 1337, 1625558]",[1144604],566525,7.496454838881302
181,해리 포터와 죽음의 성물 1,2010-10-06,276.819,16610,7.8,모험 판타지,"[10980, 10990, 10989]",[11343],12444,7.6688202419671505
182,그린치,2000-11-15,273.659,6163,6.7,가족 코미디 판타지,"[206, 20480, 4175]",[6159],8871,6.857820646766715
184,핵소 고지,2016-10-07,271.165,11633,8.2,드라마 역사 전쟁,"[37625, 65731, 4937]",[2461],324786,7.926589321435577
190,컨저링 3: 악마가 시켰다,2021-05-25,262.245,4779,7.6,공포 미스테리 스릴러,"[17178, 21657, 1731961]",[1607672],423108,7.379404463861363
202,이터널스,2021-11-03,252.586,6513,7.0,SF 액션 모험,"[97576, 512991, 11701]",[1395183],524434,7.040401930893232
208,타이타닉,1997-11-18,248.379,21794,7.9,드라마 로맨스,"[6193, 204, 1954]",[2710],597,7.7801689906292335
211,토이 스토리,1995-10-30,246.771,16029,8.0,애니메이션 모험 가족 코미디,"[31, 12898, 7167]",[7879],862,7.8259673451849725
216,분노의 질주: 더 얼티메이트,2021-05-19,243.284,5787,7.2,액션 모험 범죄 스릴러,"[12835, 17647, 8169]",[58189],385128,7.16308690988925
217,몬스터 주식회사,2001-11-01,241.56,16117,7.8,애니메이션 코미디 가족,"[1230, 7904, 7905]",[12890],585,7.665587145896051
219,그것: 두 번째 이야기,2019-09-04,239.323,7340,6.9,공포 판타지,"[137905, 5530, 83002]",[1113116],474350,6.972041660374017
224,레드 노티스,2021-11-04,236.486,4324,6.8,액션 코미디 범죄 스릴러,"[18918, 10859, 90633]",[57633],512195,6.945839181407882
225,애프터,2019-04-11,236.434,7370,7.2,로맨스 드라마,"[1753914, 1114487, 1684130]",[1586194],537915,7.1682782231128925
230,코렐라인: 비밀의 문,2009-02-05,232.975,6188,7.8,애니메이션 가족 판타지,"[501, 10742, 65827]",[57646],14836,7.5331089616198845
237,루카,2021-06-17,229.756,6849,7.9,애니메이션 코미디 가족 판타지,"[1277188, 1774679, 2990400]",[930567],508943,7.613343239809848
238,어벤져스: 엔드게임,2019-04-24,229.59,22124,8.3,모험 SF 액션,"[3223, 16828, 103]",[19271],299534,8.121927707780035
239,미 비포 유,2016-06-01,228.986,10612,7.9,드라마 로맨스,"[1223786, 237455, 47627]",[1096867],296096,7.687745873869411
240,고질라 VS. 콩,2021-03-24,228.372,8357,7.7,액션 판타지 SF,"[28846, 1356210, 15556]",[98631],399566,7.512132621037223
243,캐시트럭,2021-04-22,226.924,4035,7.7,액션 범죄 스릴러,"[976, 7497, 2299]",[956],637649,7.409625006862608
244,오펀: 천사의 비밀,2009-07-24,226.548,4493,7.0,공포 스릴러 미스테리,"[21657, 133, 77517]",[59521],21208,7.050141983453719
245,슈렉 2,2004-05-19,225.484,10396,7.2,애니메이션 가족 코미디 판타지 모험,"[12073, 776, 6941]",[5524],809,7.174999277367226
246,더 수어사이드 스쿼드,2021-07-28,224.588,6748,7.6,액션 코미디 모험,"[234352, 17605, 56446]",[15218],436969,7.420250110904524
251,투모로우 워,2021-07-02,221.233,5964,7.9,액션 SF 모험,"[73457, 63312, 18999]",[144816],588228,7.587587784706469
253,주토피아,2016-02-11,220.974,14400,7.7,애니메이션 모험 가족 코미디,"[23532, 417, 17605]",[76595],269149,7.574217416567795
257,애프터: 그 후,2020-09-02,219.954,4774,7.2,로맨스 드라마,"[1753914, 1114487, 95686]",[11873],613504,7.158769016092231
266,팀버튼의 크리스마스 악몽,1993-10-09,213.097,7875,7.8,판타지 애니메이션 가족,"[14541, 531, 11514]",[57646],9479,7.571391861181763
270,인터스텔라,2014-11-05,210.528,29825,8.4,모험 드라마 SF,"[10297, 1813, 83002]",[525],157336,8.251079460097854
273,어벤져스,2012-04-25,209.408,27783,7.7,SF 액션 모험,"[3223, 16828, 103]",[12891],24428,7.627371867736864
274,라이온 킹,1994-06-23,209.305,15928,8.3,가족 애니메이션 드라마,"[4756, 15152, 16940]",[15812],8587,8.066243044279737
276,매트릭스: 리저렉션,2021-12-16,207.782,4302,6.6,SF 액션 모험,"[6384, 530, 1639847]",[9340],624860,6.841150424933893
278,메이즈 러너,2014-09-10,206.736,15080,7.2,액션 미스테리 SF 스릴러,"[527393, 115150, 1310760]",[1179066],198663,7.1811736623093285
279,50가지 그림자: 해방,2018-01-17,205.824,7088,6.7,드라마 로맨스,"[118545, 1254583, 33337]",[15890],337167,6.84451792230351
288,이클립스,2010-06-23,198.796,7775,6.2,모험 판타지 드라마 로맨스,"[37917, 11288, 84214]",[27571],24021,6.502627534461772
289,아이스 에이지,2002-03-10,198.535,11517,7.3,애니메이션 코미디 가족 모험,"[15757, 5723, 5724]",[5713],425,7.2515899291929315
290,컨저링,2013-07-18,198.426,9876,7.5,공포 스릴러,"[17178, 21657, 3127]",[2127],138843,7.38934309543371
293,그레이의 50가지 그림자,2015-02-11,196.83,10538,5.9,드라마 로맨스 스릴러,"[118545, 1254583, 49971]",[1137903],216015,6.225481120310505
296,에놀라 홈즈,2020-09-23,195.538,4939,7.3,액션 모험 미스테리 코미디 범죄,"[1356210, 73968, 237455]",[173847],497582,7.2155059126752095
300,트와일라잇,2008-11-20,194.276,11945,6.3,판타지 드라마 로맨스,"[37917, 11288, 21029]",[19850],8966,6.498366475861204
305,라푼젤,2010-11-24,191.339,9788,7.6,애니메이션 가족,"[16855, 69899, 2517]",[76595],38757,7.4602120578732425
