title,release_date,popularity,vote_count,vote_average,genres,actor,director,id
블랙 아담,2022-10-19,23828.993,1270,6.8,"[{'id': 28, 'name': '액션'}, {'id': 14, 'name': '판타지'}, {'id': 878, 'name': 'SF'}]","[18918, 83860, 1253353]",[59521],436270
스마일,2022-09-23,4111.786,779,6.9,"[{'id': 27, 'name': '공포'}, {'id': 9648, 'name': '미스테리'}, {'id': 53, 'name': '스릴러'}]","[1396124, 59219, 145245]",[2218465],882598
블랙 팬서: 와칸다 포에버,2022-11-09,3864.722,893,7.5,"[{'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 878, 'name': 'SF'}]","[1083010, 1267329, 82104]",[1056121],505642
Снайпер. Білий ворон,2022-05-03,2915.976,113,7.4,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 10752, 'name': '전쟁'}]","[3258776, 2232024, 2039497]",[3518356],966220
테리파이어 2,2022-10-06,2492.938,645,7,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}]","[1882502, 1880016, 2787720]",[933176],663712
R.I.P.D.:알.아이.피.디.  2,2022-11-15,2373.629,124,7,"[{'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}, {'id': 35, 'name': '코미디'}, {'id': 80, 'name': '범죄'}]","[52886, 1146114, 3901]",[1181315],1013860
미디벌,2022-09-08,2207.869,154,7.2,"[{'id': 36, 'name': '역사'}, {'id': 28, 'name': '액션'}, {'id': 18, 'name': '드라마'}]","[11107, 103994, 3895]",[53348],551271
Jeepers Creepers: Reborn,2022-09-15,1967.334,477,5.8,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}]","[1817397, 2738561, 3425159]",[66212],717728
에밀리 더 크리미널,2022-08-12,1840.528,192,6.9,"[{'id': 80, 'name': '범죄'}, {'id': 18, 'name': '드라마'}, {'id': 9648, 'name': '미스테리'}, {'id': 53, 'name': '스릴러'}]","[119592, 51995, 25382]",[1099792],862965
에놀라 홈즈 2,2022-11-04,1836.272,1024,7.7,"[{'id': 9648, 'name': '미스테리'}, {'id': 12, 'name': '모험'}, {'id': 80, 'name': '범죄'}]","[1356210, 73968, 1558986]",[173847],829280
